,0,1,btc
0,19335982,193359,61160.433166276074
1,19335984,193359,61160.433166276074
2,19335985,193359,61160.433166276074
3,19335986,193359,61160.433166276074
4,19335987,193359,61160.433166276074
5,19335988,193359,61160.433166276074
6,19335989,193359,61160.433166276074
7,19335990,193359,61160.433166276074
8,19335991,193359,61160.433166276074
9,19335992,193359,61160.433166276074
10,19335993,193359,61160.433166276074
11,19335995,193359,61160.433166276074
12,19335996,193359,61160.433166276074
13,19335997,193359,61160.433166276074
14,19335998,193359,61160.433166276074
15,19335999,193359,61160.433166276074
16,19336003,193360,61305.83374587185
17,19336009,193360,61305.83374587185
18,19336012,193360,61305.83374587185
19,19336013,193360,61305.83374587185
20,19336017,193360,61305.83374587185
21,19336018,193360,61305.83374587185
22,19336019,193360,61305.83374587185
23,19336020,193360,61305.83374587185
24,19336021,193360,61305.83374587185
25,19336023,193360,61305.83374587185
26,19336025,193360,61305.83374587185
27,19336028,193360,61305.83374587185
28,19336030,193360,61305.83374587185
29,19336036,193360,61305.83374587185
30,19336038,193360,61305.83374587185
31,19336039,193360,61305.83374587185
32,19336040,193360,61305.83374587185
33,19336044,193360,61305.83374587185
34,19336046,193360,61305.83374587185
35,19336054,193360,61305.83374587185
36,19336059,193360,61305.83374587185
37,19336060,193360,61305.83374587185
38,19336061,193360,61305.83374587185
39,19336062,193360,61305.83374587185
40,19336066,193360,61305.83374587185
41,19336069,193360,61305.83374587185
42,19336071,193360,61305.83374587185
43,19336072,193360,61305.83374587185
44,19336077,193360,61305.83374587185
45,19336086,193360,61305.83374587185
46,19336091,193360,61305.83374587185
47,19336093,193360,61305.83374587185
48,19336097,193360,61305.83374587185
49,19336098,193360,61305.83374587185
50,19336100,193361,61182.35050667998
51,19336102,193361,61182.35050667998
52,19336103,193361,61182.35050667998
53,19336105,193361,61182.35050667998
54,19336106,193361,61182.35050667998
55,19336108,193361,61182.35050667998
56,19336109,193361,61182.35050667998
57,19336110,193361,61182.35050667998
58,19336111,193361,61182.35050667998
59,19336115,193361,61182.35050667998
60,19336116,193361,61182.35050667998
61,19336121,193361,61182.35050667998
62,19336122,193361,61182.35050667998
63,19336125,193361,61182.35050667998
64,19336127,193361,61182.35050667998
65,19336129,193361,61182.35050667998
66,19336133,193361,61182.35050667998
67,19336135,193361,61182.35050667998
68,19336136,193361,61182.35050667998
69,19336139,193361,61182.35050667998
70,19336140,193361,61182.35050667998
71,19336142,193361,61182.35050667998
72,19336146,193361,61182.35050667998
73,19336147,193361,61182.35050667998
74,19336148,193361,61182.35050667998
75,19336150,193361,61182.35050667998
76,19336151,193361,61182.35050667998
77,19336154,193361,61182.35050667998
78,19336155,193361,61182.35050667998
79,19336157,193361,61182.35050667998
80,19336158,193361,61182.35050667998
81,19336159,193361,61182.35050667998
82,19338511,193385,61664.41162545693
83,19338516,193385,61664.41162545693
84,19338519,193385,61664.41162545693
85,19338520,193385,61664.41162545693
86,19338525,193385,61664.41162545693
87,19338529,193385,61664.41162545693
88,19338533,193385,61664.41162545693
89,19338534,193385,61664.41162545693
90,19338536,193385,61664.41162545693
91,19338539,193385,61664.41162545693
92,19338541,193385,61664.41162545693
93,19338542,193385,61664.41162545693
94,19338548,193385,61664.41162545693
95,19338551,193385,61664.41162545693
96,19338552,193385,61664.41162545693
97,19338554,193385,61664.41162545693
98,19338557,193385,61664.41162545693
99,19338558,193385,61664.41162545693
100,19338560,193385,61664.41162545693
101,19338561,193385,61664.41162545693
102,19338562,193385,61664.41162545693
103,19338563,193385,61664.41162545693
104,19338568,193385,61664.41162545693
105,19338572,193385,61664.41162545693
106,19338573,193385,61664.41162545693
107,19338574,193385,61664.41162545693
108,19338582,193385,61664.41162545693
109,19338599,193385,61664.41162545693
110,19338601,193386,61565.639778003635
111,19338602,193386,61565.639778003635
112,19338610,193386,61565.639778003635
113,19338612,193386,61565.639778003635
114,19338613,193386,61565.639778003635
115,19338614,193386,61565.639778003635
116,19338617,193386,61565.639778003635
117,19338621,193386,61565.639778003635
118,19338624,193386,61565.639778003635
119,19338628,193386,61565.639778003635
120,19338629,193386,61565.639778003635
121,19338633,193386,61565.639778003635
122,19338636,193386,61565.639778003635
123,19338637,193386,61565.639778003635
124,19338643,193386,61565.639778003635
125,19338649,193386,61565.639778003635
126,19338651,193386,61565.639778003635
127,19338652,193386,61565.639778003635
128,19338653,193386,61565.639778003635
129,19338655,193386,61565.639778003635
130,19338671,193386,61565.639778003635
131,19338673,193386,61565.639778003635
132,19338681,193386,61565.639778003635
133,19338682,193386,61565.639778003635
134,19338686,193386,61565.639778003635
135,19338688,193386,61565.639778003635
136,19338690,193386,61565.639778003635
137,19338691,193386,61565.639778003635
138,19338696,193386,61565.639778003635
139,19338697,193386,61565.639778003635
140,19338699,193386,61565.639778003635
141,19338700,193387,61623.381609241485
142,19338702,193387,61623.381609241485
143,19338704,193387,61623.381609241485
144,19338705,193387,61623.381609241485
145,19338710,193387,61623.381609241485
146,19338712,193387,61623.381609241485
147,19338716,193387,61623.381609241485
148,19338719,193387,61623.381609241485
149,19338794,193387,61623.381609241485
150,19338795,193387,61623.381609241485
151,19338801,193388,61439.44876099035
152,19338808,193388,61439.44876099035
153,19338811,193388,61439.44876099035
154,19338813,193388,61439.44876099035
155,19338817,193388,61439.44876099035
156,19338821,193388,61439.44876099035
157,19338825,193388,61439.44876099035
158,19338827,193388,61439.44876099035
159,19338830,193388,61439.44876099035
160,19338835,193388,61439.44876099035
161,19338840,193388,61439.44876099035
162,19338843,193388,61439.44876099035
163,19338844,193388,61439.44876099035
164,19338845,193388,61439.44876099035
165,19338846,193388,61439.44876099035
166,19338848,193388,61439.44876099035
167,19338850,193388,61439.44876099035
168,19338851,193388,61439.44876099035
169,19338852,193388,61439.44876099035
170,19338854,193388,61439.44876099035
171,19338856,193388,61439.44876099035
172,19338857,193388,61439.44876099035
173,19338858,193388,61439.44876099035
174,19338859,193388,61439.44876099035
175,19338860,193388,61439.44876099035
176,19338862,193388,61439.44876099035
177,19338863,193388,61439.44876099035
178,19338864,193388,61439.44876099035
179,19338868,193388,61439.44876099035
180,19338874,193388,61439.44876099035
181,19338876,193388,61439.44876099035
182,19338879,193388,61439.44876099035
183,19338880,193388,61439.44876099035
184,19338881,193388,61439.44876099035
185,19338882,193388,61439.44876099035
186,19338884,193388,61439.44876099035
187,19338886,193388,61439.44876099035
188,19338889,193388,61439.44876099035
189,19338973,193389,61528.5580394043
190,19338975,193389,61528.5580394043
191,19338980,193389,61528.5580394043
192,19338992,193389,61528.5580394043
193,19338994,193389,61528.5580394043
194,19338998,193389,61528.5580394043
195,19338999,193389,61528.5580394043
196,19339003,193390,61408.152255656874
197,19339008,193390,61408.152255656874
198,19339022,193390,61408.152255656874
199,19339028,193390,61408.152255656874
200,19339029,193390,61408.152255656874
201,19339030,193390,61408.152255656874
202,19339035,193390,61408.152255656874
203,19339037,193390,61408.152255656874
204,19339038,193390,61408.152255656874
205,19339039,193390,61408.152255656874
206,19339049,193390,61408.152255656874
207,19339050,193390,61408.152255656874
208,19339055,193390,61408.152255656874
209,19339056,193390,61408.152255656874
210,19339058,193390,61408.152255656874
211,19339061,193390,61408.152255656874
212,19339064,193390,61408.152255656874
213,19339066,193390,61408.152255656874
214,19339068,193390,61408.152255656874
215,19339073,193390,61408.152255656874
216,19339075,193390,61408.152255656874
217,19339077,193390,61408.152255656874
218,19339079,193390,61408.152255656874
219,19339080,193390,61408.152255656874
220,19339082,193390,61408.152255656874
221,19339083,193390,61408.152255656874
222,19339084,193390,61408.152255656874
223,19339090,193390,61408.152255656874
224,19339092,193390,61408.152255656874
225,19339104,193391,61757.434918791216
226,19339106,193391,61757.434918791216
227,19339107,193391,61757.434918791216
228,19339108,193391,61757.434918791216
229,19339109,193391,61757.434918791216
230,19339110,193391,61757.434918791216
231,19339111,193391,61757.434918791216
232,19339123,193391,61757.434918791216
233,19339126,193391,61757.434918791216
234,19339129,193391,61757.434918791216
235,19339143,193391,61757.434918791216
236,19339144,193391,61757.434918791216
237,19339147,193391,61757.434918791216
